Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 108.86 , 107.97 , 108.26 , 108.35 
3 , 18 , 2010 , 109.10 , 107.96 , 108.27 , 108.37 
3 , 19 , 2010 , 109.07 , 106.94 , 108.59 , 107.56 
3 , 22 , 2010 , 108.67 , 107.10 , 107.19 , 108.40 
3 , 23 , 2010 , 109.42 , 107.98 , 108.37 , 109.34 
3 , 24 , 2010 , 109.19 , 108.28 , 109.19 , 108.88 
3 , 25 , 2010 , 109.98 , 108.69 , 109.37 , 108.75 
3 , 26 , 2010 , 109.76 , 108.67 , 109.10 , 109.05 
3 , 29 , 2010 , 109.73 , 109.09 , 109.09 , 109.47 
3 , 30 , 2010 , 109.96 , 108.93 , 109.71 , 109.26 
3 , 31 , 2010 , 109.35 , 107.96 , 108.97 , 108.12 
4 , 1 , 2010 , 109.88 , 108.75 , 109.00 , 109.53 
4 , 5 , 2010 , 112.87 , 109.62 , 109.97 , 112.19 
4 , 6 , 2010 , 112.97 , 111.51 , 111.90 , 112.70 
4 , 7 , 2010 , 115.56 , 112.10 , 112.86 , 113.92 
4 , 8 , 2010 , 114.67 , 113.02 , 113.46 , 114.17 
4 , 9 , 2010 , 114.91 , 113.42 , 114.64 , 114.77 
4 , 12 , 2010 , 115.37 , 113.96 , 114.46 , 114.23 
4 , 13 , 2010 , 116.07 , 114.08 , 115.14 , 115.64 
4 , 14 , 2010 , 113.59 , 110.35 , 110.94 , 111.15 
4 , 15 , 2010 , 109.50 , 106.91 , 109.50 , 107.78 
4 , 16 , 2010 , 107.96 , 104.15 , 107.84 , 104.93 
4 , 19 , 2010 , 106.51 , 104.37 , 104.80 , 105.75 
4 , 20 , 2010 , 107.66 , 106.20 , 106.83 , 107.51 
4 , 21 , 2010 , 108.15 , 107.11 , 107.80 , 107.59 
4 , 22 , 2010 , 110.77 , 106.72 , 106.73 , 110.65 
4 , 23 , 2010 , 111.46 , 109.73 , 110.02 , 110.92 
4 , 26 , 2010 , 111.25 , 110.09 , 110.91 , 110.20 
4 , 27 , 2010 , 110.83 , 107.77 , 110.20 , 108.15 
4 , 28 , 2010 , 108.86 , 107.88 , 108.31 , 108.43 
4 , 29 , 2010 , 111.38 , 108.44 , 108.44 , 111.38 
4 , 30 , 2010 , 111.99 , 110.46 , 111.48 , 110.54 
5 , 3 , 2010 , 112.92 , 110.32 , 110.79 , 112.27 
5 , 4 , 2010 , 111.05 , 108.42 , 111.05 , 109.11 
5 , 5 , 2010 , 109.58 , 107.36 , 108.12 , 108.60 
5 , 6 , 2010 , 109.04 , 101.17 , 107.92 , 106.50 
5 , 7 , 2010 , 107.47 , 104.21 , 106.96 , 104.94 
5 , 10 , 2010 , 111.05 , 108.55 , 108.70 , 110.71 
5 , 11 , 2010 , 111.40 , 109.27 , 109.60 , 110.33 
5 , 12 , 2010 , 110.50 , 107.60 , 108.92 , 110.37 
5 , 13 , 2010 , 110.32 , 108.52 , 109.74 , 108.90 
5 , 14 , 2010 , 108.78 , 106.26 , 108.78 , 107.67 
5 , 17 , 2010 , 108.58 , 106.39 , 108.09 , 108.31 
5 , 18 , 2010 , 109.78 , 107.00 , 108.92 , 107.05 
5 , 19 , 2010 , 106.99 , 103.86 , 106.40 , 104.91 
5 , 20 , 2010 , 103.40 , 100.14 , 103.40 , 100.14 
5 , 21 , 2010 , 103.14 , 98.46 , 98.78 , 102.77 
5 , 24 , 2010 , 102.50 , 100.79 , 102.50 , 100.86 
5 , 25 , 2010 , 101.46 , 97.92 , 98.28 , 101.24 
5 , 26 , 2010 , 102.52 , 99.82 , 101.93 , 100.14 
5 , 27 , 2010 , 103.34 , 101.19 , 102.01 , 103.34 
5 , 28 , 2010 , 103.30 , 101.24 , 103.08 , 101.75 
6 , 1 , 2010 , 102.78 , 100.22 , 101.27 , 100.22 
6 , 2 , 2010 , 103.10 , 99.76 , 100.72 , 103.10 
6 , 3 , 2010 , 104.47 , 102.32 , 102.83 , 103.55 
6 , 4 , 2010 , 101.88 , 98.72 , 100.78 , 99.19 
6 , 7 , 2010 , 99.53 , 97.26 , 99.23 , 97.29 
6 , 8 , 2010 , 99.12 , 96.50 , 97.70 , 98.91 
6 , 9 , 2010 , 101.20 , 99.03 , 99.64 , 99.38 
6 , 10 , 2010 , 103.95 , 101.03 , 102.00 , 103.80 
6 , 11 , 2010 , 104.64 , 102.07 , 102.07 , 104.26 
6 , 14 , 2010 , 105.78 , 104.32 , 104.32 , 104.64 
6 , 15 , 2010 , 107.56 , 104.75 , 104.84 , 107.48 
6 , 16 , 2010 , 107.99 , 106.78 , 107.03 , 107.70 
6 , 17 , 2010 , 107.99 , 106.32 , 107.99 , 107.82 
6 , 18 , 2010 , 108.27 , 107.09 , 108.07 , 108.26 
6 , 21 , 2010 , 109.57 , 107.17 , 109.57 , 107.86 
6 , 22 , 2010 , 108.14 , 104.62 , 107.74 , 104.89 
6 , 23 , 2010 , 105.61 , 103.16 , 104.35 , 105.24 
6 , 24 , 2010 , 105.09 , 102.65 , 104.87 , 102.91 
6 , 25 , 2010 , 104.05 , 102.41 , 103.86 , 103.38 
6 , 28 , 2010 , 104.88 , 102.89 , 103.60 , 103.91 
6 , 29 , 2010 , 102.78 , 99.33 , 102.54 , 100.04 
6 , 30 , 2010 , 101.44 , 99.22 , 99.74 , 99.45 
7 , 1 , 2010 , 99.90 , 96.81 , 99.62 , 98.75 
7 , 2 , 2010 , 99.58 , 97.47 , 99.21 , 98.17 
7 , 6 , 2010 , 99.98 , 96.84 , 98.69 , 97.54 
7 , 7 , 2010 , 100.00 , 97.44 , 97.64 , 99.82 
7 , 8 , 2010 , 101.62 , 100.24 , 100.38 , 101.57 
7 , 9 , 2010 , 103.34 , 101.35 , 101.80 , 102.99 
7 , 12 , 2010 , 103.93 , 102.06 , 102.55 , 103.78 
7 , 13 , 2010 , 106.23 , 104.28 , 104.86 , 105.49 
7 , 14 , 2010 , 105.50 , 103.50 , 104.24 , 103.75 
7 , 15 , 2010 , 109.03 , 103.43 , 106.30 , 106.89 
7 , 16 , 2010 , 106.46 , 103.95 , 106.40 , 104.98 
7 , 19 , 2010 , 105.28 , 103.87 , 104.98 , 104.79 
7 , 20 , 2010 , 106.08 , 102.49 , 103.66 , 105.90 
7 , 21 , 2010 , 107.41 , 104.81 , 106.31 , 105.60 
7 , 22 , 2010 , 108.72 , 106.51 , 106.73 , 108.39 
7 , 23 , 2010 , 109.66 , 107.37 , 108.10 , 109.61 
7 , 26 , 2010 , 110.95 , 109.21 , 109.77 , 110.95 
7 , 27 , 2010 , 111.35 , 109.53 , 111.35 , 110.46 
7 , 28 , 2010 , 110.97 , 109.67 , 110.42 , 110.78 
7 , 29 , 2010 , 111.96 , 109.78 , 111.96 , 111.25 
7 , 30 , 2010 , 112.28 , 108.95 , 109.56 , 112.01 
8 , 2 , 2010 , 115.48 , 112.51 , 113.57 , 114.16 
8 , 3 , 2010 , 114.32 , 113.09 , 113.99 , 113.54 
8 , 4 , 2010 , 115.68 , 113.12 , 113.12 , 115.44 
8 , 5 , 2010 , 114.69 , 113.60 , 114.38 , 114.09 
8 , 6 , 2010 , 114.48 , 112.59 , 112.78 , 114.03 
8 , 9 , 2010 , 115.00 , 113.36 , 114.52 , 115.00 
8 , 10 , 2010 , 113.94 , 112.40 , 113.67 , 113.38 
8 , 11 , 2010 , 111.88 , 108.86 , 111.53 , 109.85 
8 , 12 , 2010 , 111.00 , 108.45 , 108.45 , 110.74 
8 , 13 , 2010 , 110.54 , 109.44 , 110.23 , 109.66 
8 , 16 , 2010 , 109.83 , 108.23 , 109.04 , 109.22 
8 , 17 , 2010 , 112.00 , 110.21 , 110.28 , 111.24 
8 , 18 , 2010 , 111.83 , 110.38 , 111.02 , 111.18 
8 , 19 , 2010 , 111.06 , 107.65 , 110.58 , 108.11 
8 , 20 , 2010 , 108.05 , 106.59 , 107.19 , 107.68 
8 , 23 , 2010 , 109.63 , 108.10 , 108.35 , 108.88 
8 , 24 , 2010 , 107.86 , 106.13 , 107.54 , 106.35 
8 , 25 , 2010 , 106.51 , 104.48 , 105.55 , 105.86 
8 , 26 , 2010 , 107.43 , 105.54 , 106.51 , 105.79 
8 , 27 , 2010 , 107.92 , 104.88 , 106.37 , 107.72 
8 , 30 , 2010 , 108.03 , 106.28 , 107.25 , 106.30 
8 , 31 , 2010 , 106.87 , 105.09 , 105.68 , 105.79 
9 , 1 , 2010 , 109.66 , 107.27 , 107.32 , 109.59 
9 , 2 , 2010 , 111.04 , 108.85 , 109.23 , 110.84 
9 , 3 , 2010 , 112.00 , 110.57 , 111.81 , 111.43 
9 , 7 , 2010 , 111.31 , 110.20 , 110.61 , 110.36 
9 , 8 , 2010 , 111.13 , 110.50 , 110.65 , 110.73 
9 , 9 , 2010 , 113.29 , 111.29 , 111.84 , 113.05 
9 , 10 , 2010 , 114.82 , 112.77 , 112.77 , 114.73 
9 , 13 , 2010 , 116.80 , 113.27 , 115.51 , 116.56 
9 , 14 , 2010 , 116.85 , 114.59 , 114.86 , 116.36 
9 , 15 , 2010 , 118.50 , 115.96 , 115.96 , 118.18 
9 , 16 , 2010 , 117.91 , 116.26 , 116.86 , 116.75 
9 , 17 , 2010 , 119.48 , 116.55 , 117.21 , 118.74 
9 , 20 , 2010 , 121.16 , 118.10 , 118.73 , 121.01 
9 , 21 , 2010 , 121.11 , 119.46 , 120.58 , 119.74 
9 , 22 , 2010 , 120.48 , 118.08 , 119.29 , 118.45 
9 , 23 , 2010 , 119.41 , 116.93 , 117.42 , 117.74 
9 , 24 , 2010 , 121.38 , 119.22 , 119.52 , 120.74 
9 , 27 , 2010 , 120.73 , 119.24 , 120.46 , 119.35 
9 , 28 , 2010 , 120.85 , 117.99 , 119.63 , 120.62 
9 , 29 , 2010 , 120.54 , 119.20 , 119.81 , 119.56 
9 , 30 , 2010 , 121.84 , 118.11 , 120.69 , 119.11 
10 , 1 , 2010 , 120.00 , 118.79 , 119.95 , 119.13 
10 , 4 , 2010 , 119.87 , 117.25 , 119.15 , 118.25 
10 , 5 , 2010 , 122.06 , 118.70 , 119.11 , 121.69 
10 , 6 , 2010 , 123.06 , 121.22 , 121.92 , 122.62 
10 , 7 , 2010 , 123.00 , 120.91 , 123.00 , 121.99 
10 , 8 , 2010 , 123.57 , 121.63 , 121.76 , 123.00 
10 , 11 , 2010 , 123.82 , 122.58 , 122.97 , 123.14 
10 , 12 , 2010 , 124.27 , 121.23 , 122.51 , 123.70 
10 , 13 , 2010 , 126.05 , 124.16 , 124.36 , 125.31 
10 , 14 , 2010 , 123.89 , 119.80 , 122.77 , 121.64 
10 , 15 , 2010 , 123.10 , 120.36 , 122.72 , 121.32 
10 , 18 , 2010 , 122.18 , 120.93 , 121.93 , 122.18 
10 , 19 , 2010 , 122.08 , 119.60 , 121.12 , 121.16 
10 , 20 , 2010 , 123.11 , 121.10 , 121.16 , 122.74 
10 , 21 , 2010 , 124.37 , 122.82 , 123.18 , 123.82 
10 , 22 , 2010 , 123.87 , 122.48 , 123.59 , 122.61 
10 , 25 , 2010 , 124.45 , 122.31 , 123.54 , 122.72 
10 , 26 , 2010 , 123.03 , 121.11 , 121.92 , 121.76 
10 , 27 , 2010 , 121.61 , 120.10 , 121.13 , 121.42 
10 , 28 , 2010 , 122.62 , 120.57 , 122.20 , 121.10 
10 , 29 , 2010 , 124.13 , 120.95 , 121.13 , 124.03 
11 , 1 , 2010 , 125.41 , 123.72 , 124.45 , 124.37 
11 , 2 , 2010 , 126.19 , 124.84 , 125.50 , 125.19 
11 , 3 , 2010 , 125.37 , 123.14 , 125.06 , 124.62 
11 , 4 , 2010 , 126.42 , 124.88 , 125.74 , 126.34 
11 , 5 , 2010 , 128.27 , 125.96 , 126.34 , 128.19 
11 , 8 , 2010 , 127.93 , 126.67 , 127.93 , 127.03 
11 , 9 , 2010 , 127.12 , 125.17 , 127.12 , 125.82 
11 , 10 , 2010 , 126.38 , 124.90 , 125.64 , 126.37 
11 , 11 , 2010 , 126.84 , 123.35 , 123.42 , 126.70 
11 , 12 , 2010 , 126.66 , 124.45 , 125.91 , 125.50 
11 , 15 , 2010 , 127.13 , 125.34 , 126.12 , 125.37 
11 , 16 , 2010 , 125.29 , 123.47 , 124.77 , 124.53 
11 , 17 , 2010 , 125.39 , 123.00 , 124.29 , 124.86 
11 , 18 , 2010 , 126.63 , 124.15 , 125.93 , 125.24 
11 , 19 , 2010 , 125.86 , 124.27 , 124.88 , 125.78 
11 , 22 , 2010 , 126.20 , 124.52 , 125.50 , 125.95 
11 , 23 , 2010 , 124.93 , 123.62 , 124.04 , 124.06 
11 , 24 , 2010 , 127.03 , 124.83 , 124.99 , 126.70 
11 , 26 , 2010 , 126.33 , 125.69 , 126.06 , 125.75 
11 , 29 , 2010 , 125.42 , 123.78 , 124.88 , 125.06 
11 , 30 , 2010 , 125.83 , 123.62 , 123.62 , 124.93 
12 , 1 , 2010 , 128.26 , 125.97 , 125.99 , 127.27 
12 , 2 , 2010 , 131.31 , 127.27 , 127.42 , 131.16 
12 , 3 , 2010 , 131.93 , 130.51 , 130.53 , 131.59 
12 , 6 , 2010 , 132.38 , 130.91 , 131.00 , 131.95 
12 , 7 , 2010 , 134.08 , 132.21 , 132.84 , 132.63 
12 , 8 , 2010 , 132.79 , 131.39 , 132.64 , 132.13 
12 , 9 , 2010 , 132.99 , 131.76 , 132.99 , 132.35 
12 , 10 , 2010 , 133.76 , 132.08 , 132.55 , 133.67 
12 , 13 , 2010 , 134.79 , 133.34 , 133.50 , 133.77 
12 , 14 , 2010 , 135.25 , 133.82 , 133.85 , 134.83 
12 , 15 , 2010 , 136.26 , 134.32 , 134.44 , 135.38 
12 , 16 , 2010 , 136.92 , 134.65 , 135.24 , 136.80 
12 , 17 , 2010 , 136.84 , 136.08 , 136.84 , 136.19 
12 , 20 , 2010 , 137.85 , 136.41 , 136.60 , 137.30 
12 , 21 , 2010 , 138.50 , 137.53 , 137.97 , 138.50 
12 , 22 , 2010 , 138.59 , 137.71 , 138.52 , 138.01 
12 , 23 , 2010 , 138.30 , 137.77 , 138.00 , 138.07 
12 , 27 , 2010 , 138.86 , 137.41 , 138.00 , 138.65 
12 , 28 , 2010 , 139.07 , 137.51 , 138.90 , 138.01 
12 , 29 , 2010 , 139.08 , 137.94 , 138.27 , 137.95 
12 , 30 , 2010 , 138.62 , 137.41 , 137.67 , 138.29 
12 , 31 , 2010 , 139.09 , 137.91 , 137.91 , 138.11 
1 , 3 , 2011 , 140.17 , 138.75 , 138.95 , 139.54 
1 , 4 , 2011 , 140.00 , 137.40 , 140.00 , 139.23 
1 , 5 , 2011 , 139.85 , 138.05 , 138.66 , 138.68 
1 , 6 , 2011 , 137.50 , 133.41 , 137.50 , 133.66 
1 , 7 , 2011 , 134.61 , 132.13 , 133.99 , 132.60 
1 , 10 , 2011 , 133.86 , 132.10 , 132.23 , 132.66 
1 , 11 , 2011 , 134.16 , 132.89 , 133.54 , 133.54 
1 , 12 , 2011 , 135.02 , 134.10 , 134.43 , 134.46 
1 , 13 , 2011 , 135.37 , 134.33 , 134.38 , 134.78 
1 , 14 , 2011 , 136.01 , 134.29 , 134.36 , 135.90 
1 , 18 , 2011 , 137.46 , 135.52 , 136.24 , 137.20 
1 , 19 , 2011 , 137.44 , 135.78 , 136.74 , 136.08 
1 , 20 , 2011 , 136.31 , 134.24 , 136.10 , 135.20 
1 , 21 , 2011 , 136.60 , 134.91 , 136.23 , 135.31 
1 , 24 , 2011 , 139.36 , 135.21 , 135.55 , 139.16 
1 , 25 , 2011 , 137.36 , 131.74 , 136.04 , 132.56 
1 , 26 , 2011 , 132.44 , 129.92 , 131.89 , 132.18 
1 , 27 , 2011 , 134.52 , 132.11 , 132.52 , 133.99 
1 , 28 , 2011 , 134.36 , 129.64 , 134.20 , 130.21 
1 , 31 , 2011 , 132.19 , 130.38 , 130.52 , 131.47 
2 , 1 , 2011 , 132.60 , 131.32 , 131.68 , 132.32 
2 , 2 , 2011 , 132.51 , 131.14 , 132.14 , 131.73 
2 , 3 , 2011 , 133.07 , 131.08 , 131.48 , 132.36 
2 , 4 , 2011 , 133.54 , 131.97 , 132.52 , 133.45 
2 , 7 , 2011 , 135.28 , 133.41 , 133.73 , 134.66 
2 , 8 , 2011 , 135.67 , 134.36 , 134.40 , 135.44 
2 , 9 , 2011 , 136.13 , 134.99 , 135.28 , 135.28 
2 , 10 , 2011 , 136.51 , 133.99 , 133.99 , 135.87 
2 , 11 , 2011 , 136.09 , 134.53 , 134.71 , 135.73 
2 , 14 , 2011 , 135.84 , 134.31 , 135.56 , 134.48 
2 , 15 , 2011 , 134.32 , 133.37 , 134.17 , 134.00 
2 , 16 , 2011 , 135.16 , 133.62 , 134.23 , 134.22 
2 , 17 , 2011 , 134.44 , 133.25 , 133.91 , 134.00 
2 , 18 , 2011 , 135.85 , 134.07 , 134.21 , 135.66 
2 , 22 , 2011 , 135.21 , 132.61 , 134.25 , 133.01 
2 , 23 , 2011 , 133.34 , 129.01 , 132.92 , 130.53 
2 , 24 , 2011 , 131.39 , 129.39 , 130.24 , 130.07 
2 , 25 , 2011 , 131.85 , 129.98 , 130.16 , 131.72 
2 , 28 , 2011 , 133.41 , 131.85 , 132.01 , 133.21 
3 , 1 , 2011 , 137.14 , 131.87 , 134.34 , 132.02 
3 , 2 , 2011 , 135.31 , 131.08 , 131.54 , 134.75 
3 , 3 , 2011 , 137.92 , 135.91 , 135.91 , 137.38 
3 , 4 , 2011 , 137.92 , 135.18 , 136.83 , 136.43 
3 , 7 , 2011 , 137.19 , 135.46 , 136.35 , 135.77 
3 , 8 , 2011 , 137.38 , 135.60 , 136.30 , 136.70 
3 , 9 , 2011 , 137.40 , 134.76 , 136.23 , 137.08 
3 , 10 , 2011 , 135.94 , 134.05 , 135.35 , 134.41 
3 , 11 , 2011 , 137.01 , 133.84 , 134.07 , 136.48 
3 , 14 , 2011 , 136.62 , 134.18 , 135.64 , 135.53 
3 , 15 , 2011 , 135.33 , 132.03 , 132.12 , 134.39 
3 , 16 , 2011 , 135.08 , 131.45 , 134.26 , 133.12 
3 , 17 , 2011 , 135.71 , 133.51 , 135.70 , 134.55 
3 , 18 , 2011 , 136.62 , 134.82 , 136.52 , 135.53 
3 , 21 , 2011 , 137.92 , 136.33 , 137.41 , 136.53 
3 , 22 , 2011 , 136.50 , 135.12 , 136.29 , 135.69 
3 , 23 , 2011 , 135.70 , 133.95 , 135.32 , 135.04 
3 , 24 , 2011 , 136.36 , 135.38 , 136.00 , 135.73 
3 , 25 , 2011 , 136.93 , 135.65 , 135.70 , 135.91 
3 , 28 , 2011 , 137.44 , 135.44 , 135.84 , 136.43 
3 , 29 , 2011 , 138.13 , 135.46 , 136.59 , 137.97 
3 , 30 , 2011 , 139.14 , 137.12 , 138.69 , 137.28 
3 , 31 , 2011 , 137.80 , 137.07 , 137.12 , 137.68 
4 , 1 , 2011 , 140.98 , 137.75 , 138.00 , 140.88 
4 , 4 , 2011 , 141.59 , 140.50 , 140.80 , 140.95 
4 , 5 , 2011 , 142.34 , 140.79 , 140.79 , 141.52 
4 , 6 , 2011 , 145.93 , 143.43 , 143.72 , 144.20 
4 , 7 , 2011 , 145.26 , 143.32 , 143.59 , 143.82 
4 , 8 , 2011 , 144.75 , 142.33 , 144.50 , 143.17 
4 , 11 , 2011 , 144.28 , 142.78 , 143.13 , 143.52 
4 , 12 , 2011 , 143.33 , 141.47 , 143.33 , 141.96 
4 , 13 , 2011 , 142.75 , 140.31 , 142.45 , 141.65 
4 , 14 , 2011 , 142.38 , 140.09 , 140.94 , 142.24 
4 , 15 , 2011 , 143.99 , 142.14 , 142.63 , 142.86 
4 , 18 , 2011 , 148.17 , 145.00 , 146.21 , 145.32 
4 , 19 , 2011 , 146.68 , 145.62 , 145.86 , 145.92 
4 , 20 , 2011 , 149.96 , 146.78 , 147.39 , 149.87 
4 , 21 , 2011 , 150.00 , 148.83 , 150.00 , 149.65 
4 , 25 , 2011 , 149.47 , 148.14 , 149.47 , 148.94 
4 , 26 , 2011 , 149.90 , 148.80 , 149.81 , 149.02 
4 , 27 , 2011 , 150.40 , 149.00 , 149.22 , 150.19 
4 , 28 , 2011 , 151.11 , 149.53 , 149.77 , 150.84 
4 , 29 , 2011 , 152.24 , 150.55 , 151.36 , 151.60 
5 , 2 , 2011 , 151.85 , 149.71 , 151.43 , 149.80 
5 , 3 , 2011 , 150.75 , 148.65 , 149.44 , 149.38 
5 , 4 , 2011 , 149.62 , 147.35 , 148.82 , 148.31 
5 , 5 , 2011 , 148.63 , 145.80 , 146.50 , 146.79 
5 , 6 , 2011 , 149.62 , 147.26 , 148.60 , 147.91 
5 , 9 , 2011 , 149.05 , 147.56 , 147.82 , 148.27 
5 , 10 , 2011 , 151.03 , 148.45 , 148.67 , 150.89 
5 , 11 , 2011 , 150.88 , 148.23 , 149.65 , 150.05 
5 , 12 , 2011 , 152.04 , 148.90 , 149.89 , 151.78 
5 , 13 , 2011 , 153.60 , 150.62 , 152.25 , 151.00 
5 , 16 , 2011 , 151.26 , 149.38 , 150.29 , 150.30 
5 , 17 , 2011 , 150.10 , 148.15 , 150.08 , 149.09 
5 , 18 , 2011 , 151.80 , 148.61 , 149.09 , 151.74 
5 , 19 , 2011 , 152.45 , 150.44 , 152.00 , 151.45 
5 , 20 , 2011 , 151.47 , 149.25 , 151.07 , 150.83 
5 , 23 , 2011 , 149.90 , 148.27 , 149.01 , 148.89 
5 , 24 , 2011 , 149.79 , 146.85 , 149.62 , 147.34 
5 , 25 , 2011 , 148.75 , 147.05 , 147.25 , 148.50 
5 , 26 , 2011 , 149.75 , 147.30 , 147.43 , 149.37 
5 , 27 , 2011 , 150.18 , 149.24 , 149.62 , 149.41 
5 , 31 , 2011 , 151.16 , 149.23 , 151.16 , 151.07 
6 , 1 , 2011 , 151.18 , 144.61 , 150.95 , 144.80 
6 , 2 , 2011 , 146.12 , 143.47 , 145.07 , 144.79 
6 , 3 , 2011 , 144.66 , 142.06 , 142.93 , 143.57 
6 , 6 , 2011 , 144.23 , 142.10 , 143.12 , 144.03 
6 , 7 , 2011 , 144.99 , 143.60 , 144.37 , 143.61 
6 , 8 , 2011 , 143.45 , 141.98 , 143.23 , 142.65 
6 , 9 , 2011 , 143.94 , 142.38 , 142.75 , 143.42 
6 , 10 , 2011 , 143.16 , 141.18 , 143.00 , 141.90 
6 , 13 , 2011 , 143.50 , 142.01 , 142.67 , 142.81 
6 , 14 , 2011 , 146.97 , 143.75 , 144.02 , 145.69 
6 , 15 , 2011 , 145.50 , 143.10 , 144.47 , 143.14 
6 , 16 , 2011 , 144.55 , 142.01 , 143.25 , 144.27 
6 , 17 , 2011 , 145.79 , 144.45 , 145.49 , 144.54 
6 , 20 , 2011 , 146.26 , 143.48 , 143.48 , 146.04 
6 , 21 , 2011 , 148.76 , 145.30 , 146.97 , 148.50 
6 , 22 , 2011 , 149.58 , 147.59 , 148.37 , 149.10 
6 , 23 , 2011 , 149.35 , 146.32 , 147.46 , 149.16 
6 , 24 , 2011 , 149.46 , 146.55 , 148.98 , 147.37 
6 , 27 , 2011 , 149.18 , 146.55 , 147.49 , 148.12 
6 , 28 , 2011 , 151.54 , 149.01 , 149.12 , 151.51 
6 , 29 , 2011 , 152.55 , 150.85 , 151.98 , 151.59 
6 , 30 , 2011 , 154.68 , 151.44 , 151.95 , 153.65 
7 , 1 , 2011 , 158.46 , 153.13 , 154.35 , 158.21 
7 , 5 , 2011 , 159.00 , 157.00 , 158.34 , 158.19 
7 , 6 , 2011 , 159.71 , 157.37 , 157.58 , 159.63 
7 , 7 , 2011 , 161.21 , 160.17 , 160.34 , 160.78 
7 , 8 , 2011 , 160.95 , 158.74 , 160.76 , 160.75 
7 , 11 , 2011 , 160.12 , 157.98 , 158.80 , 158.54 
7 , 12 , 2011 , 159.53 , 157.75 , 158.71 , 158.30 
7 , 13 , 2011 , 161.02 , 158.36 , 158.78 , 158.75 
7 , 14 , 2011 , 160.68 , 156.12 , 159.54 , 156.59 
7 , 15 , 2011 , 158.36 , 156.63 , 157.55 , 157.62 
7 , 18 , 2011 , 157.58 , 154.75 , 157.29 , 156.31 
7 , 19 , 2011 , 156.82 , 152.79 , 154.03 , 156.24 
7 , 20 , 2011 , 157.65 , 154.53 , 157.55 , 155.66 
7 , 21 , 2011 , 157.89 , 155.33 , 156.46 , 156.17 
7 , 22 , 2011 , 156.72 , 154.73 , 156.31 , 155.45 
7 , 25 , 2011 , 155.92 , 153.39 , 153.88 , 154.84 
7 , 26 , 2011 , 154.48 , 149.55 , 154.12 , 149.99 
7 , 27 , 2011 , 150.61 , 146.32 , 149.45 , 148.76 
7 , 28 , 2011 , 152.93 , 147.83 , 147.83 , 148.84 
7 , 29 , 2011 , 149.62 , 146.33 , 146.33 , 148.37 
8 , 1 , 2011 , 149.76 , 145.66 , 149.59 , 147.30 
8 , 2 , 2011 , 146.99 , 141.27 , 146.03 , 141.43 
8 , 3 , 2011 , 143.78 , 139.15 , 141.55 , 142.78 
8 , 4 , 2011 , 140.89 , 136.47 , 140.46 , 136.63 
8 , 5 , 2011 , 141.88 , 134.72 , 138.45 , 138.50 
8 , 8 , 2011 , 136.74 , 129.79 , 132.08 , 129.86 
8 , 9 , 2011 , 133.44 , 124.33 , 131.82 , 132.57 
8 , 10 , 2011 , 131.15 , 125.82 , 128.87 , 126.11 
8 , 11 , 2011 , 135.53 , 126.80 , 127.16 , 133.22 
8 , 12 , 2011 , 137.36 , 133.88 , 134.53 , 135.84 
8 , 15 , 2011 , 139.43 , 136.26 , 138.52 , 138.57 
8 , 16 , 2011 , 139.95 , 136.55 , 136.99 , 137.26 
8 , 17 , 2011 , 138.67 , 135.65 , 138.02 , 137.08 
8 , 18 , 2011 , 133.60 , 129.41 , 133.51 , 130.95 
8 , 19 , 2011 , 134.59 , 129.27 , 129.29 , 130.34 
8 , 22 , 2011 , 134.09 , 131.52 , 133.24 , 132.68 
8 , 23 , 2011 , 138.22 , 132.00 , 133.28 , 138.15 
8 , 24 , 2011 , 141.10 , 137.19 , 137.54 , 140.98 
8 , 25 , 2011 , 141.92 , 137.27 , 140.63 , 138.02 
8 , 26 , 2011 , 143.13 , 135.56 , 137.27 , 143.05 
8 , 29 , 2011 , 148.75 , 145.65 , 145.65 , 148.59 
8 , 30 , 2011 , 151.35 , 147.81 , 148.17 , 150.41 
8 , 31 , 2011 , 156.85 , 151.81 , 151.91 , 154.10 
9 , 1 , 2011 , 155.71 , 149.73 , 151.92 , 150.96 
9 , 2 , 2011 , 150.38 , 145.85 , 148.20 , 148.40 
9 , 6 , 2011 , 149.19 , 143.57 , 144.27 , 148.99 
9 , 7 , 2011 , 153.54 , 150.24 , 151.43 , 153.04 
9 , 8 , 2011 , 154.62 , 151.82 , 152.18 , 152.45 
9 , 9 , 2011 , 152.58 , 147.27 , 151.01 , 149.22 
9 , 12 , 2011 , 151.88 , 147.15 , 147.15 , 151.72 
9 , 13 , 2011 , 158.82 , 151.84 , 152.00 , 157.27 
9 , 14 , 2011 , 161.97 , 155.59 , 158.98 , 159.73 
9 , 15 , 2011 , 162.44 , 158.31 , 161.00 , 161.63 
9 , 16 , 2011 , 165.55 , 158.96 , 165.55 , 159.89 
9 , 19 , 2011 , 161.00 , 155.76 , 156.10 , 160.36 
9 , 20 , 2011 , 163.98 , 159.32 , 161.30 , 160.47 
9 , 21 , 2011 , 161.32 , 156.95 , 160.39 , 157.05 
9 , 22 , 2011 , 155.28 , 151.71 , 152.04 , 154.49 
9 , 23 , 2011 , 155.49 , 152.96 , 153.97 , 154.27 
9 , 26 , 2011 , 158.45 , 153.03 , 155.12 , 158.13 
9 , 27 , 2011 , 162.98 , 159.48 , 162.51 , 159.98 
