Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 41.90 , 40.94 , 40.97 , 41.89 
3 , 18 , 2010 , 42.21 , 41.65 , 41.97 , 41.91 
3 , 19 , 2010 , 42.18 , 41.72 , 42.11 , 42.00 
3 , 22 , 2010 , 42.92 , 41.93 , 41.99 , 42.76 
3 , 23 , 2010 , 43.00 , 42.45 , 42.78 , 43.00 
3 , 24 , 2010 , 42.75 , 41.88 , 42.71 , 42.04 
3 , 25 , 2010 , 42.35 , 41.93 , 42.33 , 41.96 
3 , 26 , 2010 , 42.22 , 41.75 , 41.91 , 42.03 
3 , 29 , 2010 , 42.05 , 40.77 , 41.02 , 41.76 
3 , 30 , 2010 , 42.08 , 41.42 , 41.88 , 41.83 
3 , 31 , 2010 , 41.94 , 41.45 , 41.65 , 41.71 
4 , 1 , 2010 , 42.03 , 41.56 , 41.81 , 41.93 
4 , 5 , 2010 , 42.12 , 41.67 , 41.98 , 42.07 
4 , 6 , 2010 , 42.16 , 41.79 , 41.84 , 41.91 
4 , 7 , 2010 , 41.95 , 41.40 , 41.40 , 41.73 
4 , 8 , 2010 , 41.67 , 41.30 , 41.58 , 41.61 
4 , 9 , 2010 , 41.88 , 41.31 , 41.70 , 41.83 
4 , 12 , 2010 , 42.00 , 41.46 , 41.81 , 41.88 
4 , 13 , 2010 , 42.21 , 41.73 , 41.96 , 42.15 
4 , 14 , 2010 , 43.57 , 42.33 , 42.39 , 43.53 
4 , 15 , 2010 , 44.00 , 43.41 , 43.41 , 43.82 
4 , 16 , 2010 , 43.99 , 43.38 , 43.73 , 43.58 
4 , 19 , 2010 , 43.94 , 43.23 , 43.64 , 43.84 
4 , 20 , 2010 , 44.44 , 43.82 , 43.96 , 44.35 
4 , 21 , 2010 , 44.77 , 43.98 , 44.35 , 44.67 
4 , 22 , 2010 , 46.15 , 44.50 , 44.51 , 46.03 
4 , 23 , 2010 , 46.31 , 45.62 , 46.19 , 46.27 
4 , 26 , 2010 , 46.83 , 46.32 , 46.38 , 46.56 
4 , 27 , 2010 , 46.79 , 45.80 , 46.56 , 45.88 
4 , 28 , 2010 , 46.75 , 45.67 , 45.94 , 46.34 
4 , 29 , 2010 , 50.09 , 48.63 , 49.50 , 49.60 
4 , 30 , 2010 , 49.69 , 48.85 , 49.00 , 48.87 
5 , 3 , 2010 , 49.72 , 48.60 , 48.78 , 49.72 
5 , 4 , 2010 , 48.76 , 47.53 , 48.20 , 48.45 
5 , 5 , 2010 , 49.34 , 48.17 , 48.30 , 48.31 
5 , 6 , 2010 , 48.18 , 45.22 , 47.47 , 46.92 
5 , 7 , 2010 , 47.72 , 45.85 , 47.07 , 46.35 
5 , 10 , 2010 , 48.60 , 47.68 , 48.16 , 48.37 
5 , 11 , 2010 , 48.85 , 47.76 , 48.03 , 48.23 
5 , 12 , 2010 , 48.98 , 48.06 , 48.30 , 48.94 
5 , 13 , 2010 , 48.84 , 48.05 , 48.59 , 48.07 
5 , 14 , 2010 , 48.38 , 47.52 , 47.96 , 47.92 
5 , 17 , 2010 , 48.58 , 47.40 , 48.16 , 48.40 
5 , 18 , 2010 , 49.20 , 47.93 , 48.73 , 48.09 
5 , 19 , 2010 , 49.18 , 47.59 , 47.99 , 48.78 
5 , 20 , 2010 , 49.62 , 47.77 , 48.17 , 47.77 
5 , 21 , 2010 , 48.62 , 47.00 , 47.07 , 47.89 
5 , 24 , 2010 , 48.33 , 47.18 , 47.18 , 47.60 
5 , 25 , 2010 , 49.72 , 46.70 , 46.85 , 49.49 
5 , 26 , 2010 , 50.27 , 49.04 , 49.75 , 49.16 
5 , 27 , 2010 , 50.73 , 49.73 , 49.95 , 50.67 
5 , 28 , 2010 , 51.70 , 50.21 , 50.42 , 51.02 
6 , 1 , 2010 , 51.28 , 50.34 , 50.93 , 50.62 
6 , 2 , 2010 , 51.43 , 50.30 , 50.97 , 51.39 
6 , 3 , 2010 , 51.60 , 50.81 , 51.26 , 51.40 
6 , 4 , 2010 , 50.74 , 49.33 , 50.74 , 49.64 
6 , 7 , 2010 , 49.94 , 48.41 , 49.77 , 48.49 
6 , 8 , 2010 , 49.50 , 48.05 , 48.40 , 49.40 
6 , 9 , 2010 , 50.20 , 48.73 , 49.58 , 48.95 
6 , 10 , 2010 , 49.71 , 48.51 , 49.38 , 49.48 
6 , 11 , 2010 , 50.07 , 48.81 , 48.82 , 49.81 
6 , 14 , 2010 , 50.97 , 50.27 , 50.51 , 50.32 
6 , 15 , 2010 , 51.16 , 50.21 , 50.67 , 51.13 
6 , 16 , 2010 , 51.12 , 50.53 , 51.07 , 50.62 
6 , 17 , 2010 , 50.93 , 50.15 , 50.87 , 50.38 
6 , 18 , 2010 , 50.80 , 49.70 , 50.34 , 49.93 
6 , 21 , 2010 , 50.44 , 49.39 , 50.06 , 49.66 
6 , 22 , 2010 , 50.43 , 48.94 , 49.66 , 49.07 
6 , 23 , 2010 , 50.18 , 49.25 , 49.25 , 49.90 
6 , 24 , 2010 , 49.89 , 48.53 , 49.68 , 48.87 
6 , 25 , 2010 , 49.46 , 48.51 , 48.84 , 49.15 
6 , 28 , 2010 , 49.15 , 48.41 , 49.12 , 48.61 
6 , 29 , 2010 , 48.42 , 47.23 , 48.33 , 47.83 
6 , 30 , 2010 , 48.47 , 47.30 , 47.64 , 47.56 
7 , 1 , 2010 , 48.15 , 46.86 , 47.45 , 48.00 
7 , 2 , 2010 , 48.12 , 47.62 , 48.02 , 47.68 
7 , 6 , 2010 , 48.43 , 46.32 , 48.10 , 46.75 
7 , 7 , 2010 , 47.15 , 46.06 , 46.70 , 46.80 
7 , 8 , 2010 , 47.00 , 45.66 , 46.87 , 46.35 
7 , 9 , 2010 , 46.53 , 45.79 , 46.42 , 46.07 
7 , 12 , 2010 , 46.32 , 45.65 , 46.09 , 46.19 
7 , 13 , 2010 , 47.81 , 46.37 , 46.49 , 47.60 
7 , 14 , 2010 , 47.83 , 47.15 , 47.52 , 47.52 
7 , 15 , 2010 , 48.42 , 47.35 , 47.40 , 48.32 
7 , 16 , 2010 , 48.39 , 47.03 , 48.39 , 47.09 
7 , 19 , 2010 , 48.40 , 47.01 , 47.09 , 47.91 
7 , 20 , 2010 , 48.79 , 47.14 , 47.35 , 48.74 
7 , 21 , 2010 , 48.91 , 46.80 , 48.78 , 47.03 
7 , 22 , 2010 , 48.34 , 47.54 , 47.54 , 48.00 
7 , 23 , 2010 , 49.12 , 47.76 , 47.76 , 49.04 
7 , 26 , 2010 , 49.96 , 48.70 , 49.28 , 49.94 
7 , 27 , 2010 , 50.17 , 48.88 , 50.00 , 48.98 
7 , 28 , 2010 , 49.79 , 48.85 , 49.03 , 49.39 
7 , 29 , 2010 , 49.65 , 48.23 , 49.39 , 48.99 
7 , 30 , 2010 , 49.37 , 48.62 , 48.86 , 49.28 
8 , 2 , 2010 , 49.90 , 49.02 , 49.88 , 49.08 
8 , 3 , 2010 , 48.91 , 48.00 , 48.28 , 48.16 
8 , 4 , 2010 , 48.25 , 47.30 , 48.10 , 47.75 
8 , 5 , 2010 , 48.00 , 47.09 , 47.45 , 47.85 
8 , 6 , 2010 , 48.01 , 46.78 , 48.01 , 47.14 
8 , 9 , 2010 , 47.91 , 46.91 , 47.91 , 47.27 
8 , 10 , 2010 , 47.14 , 46.57 , 46.88 , 46.83 
8 , 11 , 2010 , 46.55 , 45.75 , 46.55 , 46.27 
8 , 12 , 2010 , 47.22 , 45.74 , 45.75 , 46.97 
8 , 13 , 2010 , 47.00 , 46.25 , 46.64 , 46.84 
8 , 16 , 2010 , 47.18 , 46.52 , 46.59 , 47.13 
8 , 17 , 2010 , 48.01 , 47.20 , 47.41 , 47.80 
8 , 18 , 2010 , 48.45 , 47.51 , 47.85 , 48.08 
8 , 19 , 2010 , 48.04 , 47.15 , 47.75 , 47.47 
8 , 20 , 2010 , 47.84 , 46.95 , 47.46 , 47.82 
8 , 23 , 2010 , 48.02 , 47.06 , 47.81 , 47.10 
8 , 24 , 2010 , 47.48 , 46.09 , 46.77 , 47.17 
8 , 25 , 2010 , 47.50 , 46.84 , 47.00 , 47.33 
8 , 26 , 2010 , 47.60 , 47.18 , 47.45 , 47.21 
8 , 27 , 2010 , 47.78 , 46.89 , 47.43 , 47.61 
8 , 30 , 2010 , 47.57 , 46.93 , 47.45 , 46.93 
8 , 31 , 2010 , 47.37 , 46.56 , 46.82 , 47.27 
9 , 1 , 2010 , 49.00 , 47.50 , 47.50 , 48.87 
9 , 2 , 2010 , 49.65 , 48.57 , 48.57 , 49.65 
9 , 3 , 2010 , 50.44 , 49.53 , 49.83 , 50.13 
9 , 7 , 2010 , 50.31 , 49.48 , 50.29 , 49.58 
9 , 8 , 2010 , 50.30 , 49.55 , 49.67 , 50.26 
9 , 9 , 2010 , 50.94 , 49.80 , 50.60 , 50.16 
9 , 10 , 2010 , 50.54 , 49.98 , 50.08 , 50.12 
9 , 13 , 2010 , 51.24 , 50.17 , 50.27 , 51.18 
9 , 14 , 2010 , 51.60 , 51.04 , 51.04 , 51.08 
9 , 15 , 2010 , 51.52 , 50.80 , 50.87 , 51.52 
9 , 16 , 2010 , 51.76 , 51.09 , 51.32 , 51.66 
9 , 17 , 2010 , 52.00 , 51.37 , 51.84 , 51.95 
9 , 20 , 2010 , 52.74 , 51.87 , 51.97 , 52.66 
9 , 21 , 2010 , 52.66 , 51.71 , 52.57 , 52.39 
9 , 22 , 2010 , 53.37 , 52.31 , 52.35 , 53.34 
9 , 23 , 2010 , 53.50 , 52.59 , 52.89 , 52.73 
9 , 24 , 2010 , 53.54 , 52.90 , 53.30 , 53.47 
9 , 27 , 2010 , 53.33 , 52.71 , 53.31 , 52.99 
9 , 28 , 2010 , 54.00 , 52.74 , 53.38 , 53.90 
9 , 29 , 2010 , 54.19 , 53.63 , 53.64 , 54.07 
9 , 30 , 2010 , 53.89 , 52.62 , 53.88 , 53.20 
10 , 1 , 2010 , 54.35 , 53.14 , 53.67 , 53.36 
10 , 4 , 2010 , 53.77 , 52.88 , 53.27 , 53.39 
10 , 5 , 2010 , 54.42 , 53.57 , 53.78 , 54.06 
10 , 6 , 2010 , 54.18 , 53.52 , 53.83 , 53.65 
10 , 7 , 2010 , 54.00 , 53.34 , 53.92 , 53.80 
10 , 8 , 2010 , 54.05 , 53.20 , 53.77 , 53.49 
10 , 11 , 2010 , 53.45 , 52.71 , 53.37 , 52.85 
10 , 12 , 2010 , 53.45 , 52.40 , 52.73 , 53.36 
10 , 13 , 2010 , 53.53 , 52.75 , 53.44 , 52.84 
10 , 14 , 2010 , 53.42 , 52.46 , 52.79 , 53.26 
10 , 15 , 2010 , 53.79 , 53.02 , 53.59 , 53.69 
10 , 18 , 2010 , 53.71 , 52.99 , 53.53 , 53.12 
10 , 19 , 2010 , 53.33 , 52.61 , 52.80 , 53.01 
10 , 20 , 2010 , 53.99 , 52.97 , 53.17 , 53.73 
10 , 21 , 2010 , 53.96 , 53.04 , 53.49 , 53.64 
10 , 22 , 2010 , 54.06 , 53.31 , 53.63 , 54.02 
10 , 25 , 2010 , 54.84 , 54.21 , 54.25 , 54.60 
10 , 26 , 2010 , 54.82 , 53.93 , 54.43 , 54.35 
10 , 27 , 2010 , 54.43 , 53.42 , 53.91 , 54.40 
10 , 28 , 2010 , 57.59 , 54.79 , 55.00 , 57.12 
10 , 29 , 2010 , 58.60 , 56.87 , 57.10 , 58.50 
11 , 1 , 2010 , 58.82 , 57.37 , 58.65 , 57.65 
11 , 2 , 2010 , 57.86 , 57.04 , 57.63 , 57.17 
11 , 3 , 2010 , 57.75 , 56.93 , 57.12 , 57.51 
11 , 4 , 2010 , 58.42 , 57.54 , 58.09 , 58.20 
11 , 5 , 2010 , 58.79 , 58.13 , 58.21 , 58.43 
11 , 8 , 2010 , 59.04 , 58.21 , 58.33 , 58.71 
11 , 9 , 2010 , 58.92 , 57.87 , 58.88 , 58.29 
11 , 10 , 2010 , 59.15 , 58.10 , 58.38 , 59.15 
11 , 11 , 2010 , 60.82 , 58.64 , 59.00 , 60.36 
11 , 12 , 2010 , 60.25 , 59.01 , 59.88 , 59.63 
11 , 15 , 2010 , 59.98 , 59.18 , 59.92 , 59.32 
11 , 16 , 2010 , 59.68 , 58.37 , 58.86 , 58.38 
11 , 17 , 2010 , 58.98 , 58.07 , 58.35 , 58.82 
11 , 18 , 2010 , 60.00 , 59.00 , 59.27 , 59.44 
11 , 19 , 2010 , 59.63 , 59.09 , 59.47 , 59.50 
11 , 22 , 2010 , 60.82 , 59.50 , 60.00 , 60.24 
11 , 23 , 2010 , 59.95 , 59.26 , 59.93 , 59.87 
11 , 24 , 2010 , 61.00 , 60.08 , 60.27 , 60.71 
11 , 26 , 2010 , 60.91 , 60.30 , 60.39 , 60.67 
11 , 29 , 2010 , 60.49 , 59.26 , 60.27 , 59.92 
11 , 30 , 2010 , 60.34 , 59.01 , 59.51 , 60.18 
12 , 1 , 2010 , 61.32 , 60.52 , 60.74 , 60.71 
12 , 2 , 2010 , 61.75 , 60.63 , 60.77 , 61.75 
12 , 3 , 2010 , 61.86 , 61.24 , 61.54 , 61.61 
12 , 6 , 2010 , 61.82 , 61.11 , 61.63 , 61.19 
12 , 7 , 2010 , 62.40 , 60.22 , 61.96 , 60.54 
12 , 8 , 2010 , 61.18 , 60.68 , 60.68 , 61.13 
12 , 9 , 2010 , 61.54 , 60.53 , 61.40 , 61.54 
12 , 10 , 2010 , 61.80 , 61.18 , 61.65 , 61.45 
12 , 13 , 2010 , 62.04 , 61.11 , 61.86 , 61.27 
12 , 14 , 2010 , 62.03 , 61.20 , 61.56 , 61.81 
12 , 15 , 2010 , 62.24 , 61.51 , 61.83 , 62.01 
12 , 16 , 2010 , 63.05 , 61.86 , 61.98 , 63.04 
12 , 17 , 2010 , 63.03 , 62.30 , 62.97 , 62.77 
12 , 20 , 2010 , 63.04 , 62.25 , 62.98 , 62.54 
12 , 21 , 2010 , 62.98 , 61.81 , 62.82 , 61.93 
12 , 22 , 2010 , 62.10 , 61.12 , 61.89 , 61.21 
12 , 23 , 2010 , 61.15 , 60.06 , 61.07 , 60.24 
12 , 27 , 2010 , 60.96 , 59.21 , 60.15 , 60.54 
12 , 28 , 2010 , 60.85 , 60.30 , 60.47 , 60.64 
12 , 29 , 2010 , 61.12 , 60.50 , 60.88 , 60.64 
12 , 30 , 2010 , 61.06 , 60.50 , 60.95 , 60.95 
12 , 31 , 2010 , 61.06 , 60.28 , 60.96 , 60.42 
1 , 3 , 2011 , 61.70 , 60.43 , 60.99 , 60.69 
1 , 4 , 2011 , 60.62 , 57.90 , 60.51 , 58.11 
1 , 5 , 2011 , 58.59 , 57.39 , 58.04 , 58.27 
1 , 6 , 2011 , 58.18 , 56.35 , 58.18 , 56.44 
1 , 7 , 2011 , 56.71 , 56.02 , 56.64 , 56.43 
1 , 10 , 2011 , 56.93 , 56.20 , 56.30 , 56.76 
1 , 11 , 2011 , 57.49 , 56.23 , 56.83 , 56.25 
1 , 12 , 2011 , 57.49 , 56.41 , 56.82 , 57.16 
1 , 13 , 2011 , 57.15 , 56.62 , 57.15 , 56.71 
1 , 14 , 2011 , 57.31 , 56.45 , 56.67 , 57.31 
1 , 18 , 2011 , 57.92 , 56.68 , 57.45 , 56.91 
1 , 19 , 2011 , 57.61 , 56.47 , 56.65 , 57.40 
1 , 20 , 2011 , 58.60 , 57.36 , 57.36 , 57.88 
1 , 21 , 2011 , 58.05 , 57.02 , 58.03 , 57.50 
1 , 24 , 2011 , 57.49 , 56.51 , 57.33 , 57.25 
1 , 25 , 2011 , 57.03 , 55.85 , 57.00 , 56.29 
1 , 26 , 2011 , 57.03 , 55.60 , 56.30 , 56.99 
1 , 27 , 2011 , 57.82 , 56.88 , 57.18 , 57.73 
1 , 28 , 2011 , 57.77 , 56.44 , 57.64 , 56.51 
1 , 31 , 2011 , 57.44 , 56.29 , 56.55 , 56.83 
2 , 1 , 2011 , 57.46 , 56.85 , 57.31 , 56.92 
2 , 2 , 2011 , 57.16 , 55.52 , 56.71 , 55.65 
2 , 3 , 2011 , 56.63 , 55.50 , 55.62 , 56.50 
2 , 4 , 2011 , 57.65 , 56.27 , 56.40 , 57.58 
2 , 7 , 2011 , 57.98 , 57.51 , 57.58 , 57.74 
2 , 8 , 2011 , 58.23 , 57.52 , 57.67 , 58.21 
2 , 9 , 2011 , 58.51 , 57.80 , 58.09 , 58.31 
2 , 10 , 2011 , 58.00 , 56.52 , 58.00 , 57.39 
2 , 11 , 2011 , 57.78 , 56.69 , 57.36 , 57.63 
2 , 14 , 2011 , 57.63 , 56.64 , 57.31 , 57.33 
2 , 15 , 2011 , 57.70 , 56.90 , 57.25 , 57.70 
2 , 16 , 2011 , 59.35 , 57.96 , 59.09 , 58.28 
2 , 17 , 2011 , 57.00 , 55.14 , 56.87 , 55.25 
2 , 18 , 2011 , 55.92 , 54.72 , 54.94 , 55.25 
2 , 22 , 2011 , 55.58 , 53.44 , 53.87 , 55.02 
2 , 23 , 2011 , 55.23 , 54.04 , 54.89 , 54.42 
2 , 24 , 2011 , 54.94 , 53.33 , 54.42 , 54.58 
2 , 25 , 2011 , 55.43 , 54.60 , 54.64 , 55.34 
2 , 28 , 2011 , 56.80 , 55.18 , 55.68 , 55.58 
3 , 1 , 2011 , 55.96 , 54.85 , 55.62 , 55.15 
3 , 2 , 2011 , 56.08 , 55.04 , 55.04 , 55.91 
3 , 3 , 2011 , 56.79 , 55.74 , 56.15 , 56.55 
3 , 4 , 2011 , 56.67 , 55.87 , 56.34 , 56.38 
3 , 7 , 2011 , 56.83 , 55.38 , 56.66 , 55.38 
3 , 8 , 2011 , 56.28 , 55.11 , 55.46 , 56.00 
3 , 9 , 2011 , 56.26 , 55.57 , 55.83 , 55.96 
3 , 10 , 2011 , 55.95 , 55.27 , 55.48 , 55.73 
3 , 11 , 2011 , 56.15 , 54.78 , 55.44 , 56.02 
3 , 14 , 2011 , 55.77 , 54.81 , 55.54 , 55.57 
3 , 15 , 2011 , 55.95 , 54.50 , 54.64 , 55.33 
3 , 16 , 2011 , 55.58 , 54.56 , 54.97 , 55.07 
3 , 17 , 2011 , 56.02 , 55.00 , 55.69 , 55.46 
3 , 18 , 2011 , 56.16 , 55.05 , 56.15 , 55.47 
3 , 21 , 2011 , 57.29 , 56.03 , 56.13 , 56.45 
3 , 22 , 2011 , 56.58 , 56.04 , 56.32 , 56.51 
3 , 23 , 2011 , 57.32 , 55.80 , 56.37 , 57.13 
3 , 24 , 2011 , 58.28 , 57.19 , 57.41 , 57.89 
3 , 25 , 2011 , 58.50 , 57.79 , 57.99 , 58.12 
3 , 28 , 2011 , 58.55 , 56.71 , 58.34 , 56.72 
3 , 29 , 2011 , 57.01 , 56.51 , 56.78 , 56.83 
3 , 30 , 2011 , 57.89 , 56.96 , 57.32 , 57.85 
3 , 31 , 2011 , 57.98 , 56.82 , 57.80 , 57.46 
4 , 1 , 2011 , 58.31 , 57.60 , 57.60 , 57.88 
4 , 4 , 2011 , 57.84 , 56.12 , 57.75 , 57.67 
4 , 5 , 2011 , 59.09 , 57.52 , 57.52 , 58.23 
4 , 6 , 2011 , 58.63 , 57.44 , 58.57 , 57.49 
4 , 7 , 2011 , 58.04 , 56.93 , 57.43 , 57.20 
4 , 8 , 2011 , 57.40 , 56.26 , 57.33 , 56.50 
4 , 11 , 2011 , 56.68 , 55.64 , 56.50 , 56.31 
4 , 12 , 2011 , 56.59 , 55.99 , 56.10 , 56.05 
4 , 13 , 2011 , 55.60 , 54.98 , 55.15 , 55.38 
4 , 14 , 2011 , 55.96 , 55.08 , 55.08 , 55.84 
4 , 15 , 2011 , 56.55 , 55.61 , 55.61 , 56.34 
4 , 18 , 2011 , 56.87 , 55.47 , 55.70 , 56.78 
4 , 19 , 2011 , 56.95 , 56.22 , 56.72 , 56.64 
4 , 20 , 2011 , 58.10 , 57.24 , 57.29 , 58.09 
4 , 21 , 2011 , 58.24 , 57.55 , 58.09 , 58.03 
4 , 25 , 2011 , 58.20 , 57.55 , 58.10 , 58.07 
4 , 26 , 2011 , 59.21 , 57.77 , 59.21 , 57.97 
4 , 27 , 2011 , 58.69 , 57.98 , 58.02 , 58.45 
4 , 28 , 2011 , 58.98 , 57.27 , 58.89 , 58.55 
4 , 29 , 2011 , 59.50 , 58.39 , 58.56 , 59.06 
5 , 2 , 2011 , 59.89 , 59.22 , 59.27 , 59.55 
5 , 3 , 2011 , 60.00 , 59.29 , 59.29 , 59.67 
5 , 4 , 2011 , 60.26 , 59.36 , 59.60 , 59.65 
5 , 5 , 2011 , 60.32 , 59.00 , 59.55 , 59.87 
5 , 6 , 2011 , 60.60 , 59.70 , 60.32 , 59.70 
5 , 9 , 2011 , 59.97 , 59.30 , 59.67 , 59.66 
5 , 10 , 2011 , 60.30 , 59.71 , 59.75 , 60.26 
5 , 11 , 2011 , 60.86 , 59.96 , 60.06 , 60.77 
5 , 12 , 2011 , 61.24 , 59.56 , 59.56 , 61.17 
5 , 13 , 2011 , 61.29 , 60.53 , 61.25 , 60.90 
5 , 16 , 2011 , 61.13 , 59.96 , 61.13 , 60.26 
5 , 17 , 2011 , 60.28 , 59.41 , 60.17 , 59.51 
5 , 18 , 2011 , 60.22 , 59.20 , 59.37 , 60.19 
5 , 19 , 2011 , 59.39 , 57.92 , 59.38 , 58.59 
5 , 20 , 2011 , 58.42 , 57.62 , 58.42 , 57.89 
5 , 23 , 2011 , 59.46 , 57.11 , 57.36 , 59.02 
5 , 24 , 2011 , 59.90 , 59.05 , 59.38 , 59.17 
5 , 25 , 2011 , 59.71 , 58.73 , 58.98 , 59.50 
5 , 26 , 2011 , 59.86 , 59.11 , 59.29 , 59.69 
5 , 27 , 2011 , 59.90 , 59.53 , 59.57 , 59.69 
5 , 31 , 2011 , 60.11 , 59.61 , 59.93 , 60.11 
6 , 1 , 2011 , 60.34 , 59.43 , 59.90 , 59.50 
6 , 2 , 2011 , 59.65 , 59.03 , 59.31 , 59.58 
6 , 3 , 2011 , 59.37 , 58.79 , 59.01 , 58.99 
6 , 6 , 2011 , 59.18 , 58.58 , 58.78 , 58.92 
6 , 7 , 2011 , 59.76 , 58.90 , 59.00 , 59.49 
6 , 8 , 2011 , 59.40 , 58.82 , 59.40 , 58.96 
6 , 9 , 2011 , 59.90 , 58.71 , 58.96 , 59.80 
6 , 10 , 2011 , 59.75 , 59.22 , 59.75 , 59.27 
6 , 13 , 2011 , 59.89 , 59.16 , 59.20 , 59.50 
6 , 14 , 2011 , 60.50 , 59.48 , 59.57 , 60.08 
6 , 15 , 2011 , 60.15 , 59.51 , 59.62 , 59.97 
6 , 16 , 2011 , 61.29 , 59.92 , 60.25 , 61.17 
6 , 17 , 2011 , 62.45 , 61.54 , 61.90 , 62.02 
6 , 20 , 2011 , 63.03 , 61.88 , 61.94 , 63.00 
6 , 21 , 2011 , 63.75 , 62.55 , 63.16 , 63.75 
6 , 22 , 2011 , 64.61 , 63.54 , 63.62 , 63.56 
6 , 23 , 2011 , 64.65 , 62.95 , 63.09 , 64.60 
6 , 24 , 2011 , 64.58 , 63.58 , 64.40 , 64.00 
6 , 27 , 2011 , 64.70 , 63.49 , 63.99 , 64.40 
6 , 28 , 2011 , 65.11 , 64.26 , 64.52 , 64.99 
6 , 29 , 2011 , 65.37 , 64.26 , 65.14 , 64.60 
6 , 30 , 2011 , 65.63 , 64.50 , 64.84 , 65.51 
7 , 1 , 2011 , 66.52 , 65.55 , 65.61 , 66.21 
7 , 5 , 2011 , 66.35 , 65.65 , 66.22 , 66.04 
7 , 6 , 2011 , 66.46 , 65.62 , 65.92 , 65.70 
7 , 7 , 2011 , 66.39 , 65.61 , 66.16 , 65.77 
7 , 8 , 2011 , 65.99 , 65.14 , 65.22 , 65.42 
7 , 11 , 2011 , 65.47 , 64.11 , 64.91 , 64.42 
7 , 12 , 2011 , 65.18 , 64.39 , 64.55 , 64.64 
7 , 13 , 2011 , 65.34 , 64.12 , 65.00 , 64.34 
7 , 14 , 2011 , 64.60 , 63.35 , 64.43 , 63.69 
7 , 15 , 2011 , 64.00 , 62.63 , 63.82 , 63.09 
7 , 18 , 2011 , 62.91 , 61.90 , 62.88 , 62.20 
7 , 19 , 2011 , 62.87 , 62.02 , 62.52 , 62.36 
7 , 20 , 2011 , 62.45 , 61.50 , 62.18 , 61.89 
7 , 21 , 2011 , 62.51 , 61.61 , 62.23 , 61.90 
7 , 22 , 2011 , 62.59 , 61.97 , 62.00 , 62.19 
7 , 25 , 2011 , 62.70 , 61.67 , 61.67 , 62.06 
7 , 26 , 2011 , 62.41 , 61.59 , 62.18 , 62.11 
7 , 27 , 2011 , 61.97 , 61.17 , 61.69 , 61.45 
7 , 28 , 2011 , 61.32 , 58.32 , 59.00 , 59.54 
7 , 29 , 2011 , 60.39 , 59.04 , 59.25 , 59.50 
8 , 1 , 2011 , 59.62 , 58.34 , 59.08 , 58.69 
8 , 2 , 2011 , 59.24 , 56.92 , 58.14 , 56.98 
8 , 3 , 2011 , 58.46 , 56.79 , 57.07 , 58.13 
8 , 4 , 2011 , 58.06 , 56.62 , 57.58 , 56.91 
8 , 5 , 2011 , 58.64 , 56.25 , 57.69 , 58.35 
8 , 8 , 2011 , 59.16 , 57.41 , 57.41 , 57.51 
8 , 9 , 2011 , 59.99 , 57.48 , 58.16 , 59.99 
8 , 10 , 2011 , 59.08 , 57.45 , 58.90 , 57.53 
8 , 11 , 2011 , 59.59 , 58.01 , 58.01 , 59.02 
8 , 12 , 2011 , 60.72 , 58.84 , 59.15 , 60.23 
8 , 15 , 2011 , 60.83 , 59.85 , 60.37 , 60.74 
8 , 16 , 2011 , 60.95 , 59.61 , 60.09 , 60.66 
8 , 17 , 2011 , 61.70 , 60.25 , 60.86 , 61.06 
8 , 18 , 2011 , 61.62 , 59.03 , 59.88 , 61.36 
8 , 19 , 2011 , 62.59 , 60.55 , 60.55 , 61.07 
8 , 22 , 2011 , 62.45 , 61.45 , 62.06 , 61.84 
8 , 23 , 2011 , 63.64 , 61.80 , 62.00 , 63.19 
8 , 24 , 2011 , 64.15 , 62.86 , 62.87 , 63.96 
8 , 25 , 2011 , 64.22 , 62.85 , 63.98 , 62.93 
8 , 26 , 2011 , 64.16 , 62.22 , 62.81 , 63.93 
8 , 29 , 2011 , 65.25 , 63.75 , 64.37 , 65.24 
8 , 30 , 2011 , 65.47 , 64.76 , 64.76 , 65.15 
8 , 31 , 2011 , 66.02 , 64.54 , 65.44 , 64.88 
9 , 1 , 2011 , 66.10 , 63.39 , 64.47 , 65.72 
9 , 2 , 2011 , 66.37 , 64.56 , 64.57 , 65.75 
9 , 6 , 2011 , 66.70 , 64.05 , 64.11 , 66.60 
9 , 7 , 2011 , 68.49 , 66.65 , 67.00 , 68.43 
9 , 8 , 2011 , 68.35 , 67.32 , 68.10 , 67.41 
9 , 9 , 2011 , 68.25 , 66.91 , 67.24 , 67.29 
9 , 12 , 2011 , 67.59 , 66.21 , 66.48 , 66.76 
9 , 13 , 2011 , 68.29 , 66.62 , 67.00 , 68.11 
9 , 14 , 2011 , 70.56 , 67.53 , 68.32 , 69.75 
9 , 15 , 2011 , 70.82 , 69.46 , 69.97 , 70.63 
9 , 16 , 2011 , 71.70 , 70.51 , 70.80 , 71.14 
9 , 19 , 2011 , 72.00 , 70.54 , 70.60 , 71.72 
9 , 20 , 2011 , 71.78 , 70.09 , 71.74 , 70.42 
9 , 21 , 2011 , 71.29 , 69.76 , 70.53 , 69.79 
9 , 22 , 2011 , 69.60 , 67.95 , 68.66 , 68.61 
9 , 23 , 2011 , 69.50 , 68.18 , 68.57 , 69.14 
9 , 26 , 2011 , 69.96 , 68.66 , 69.41 , 69.36 
9 , 27 , 2011 , 70.96 , 68.16 , 70.38 , 68.56 
